lat,lon,polygon,GEOID
34.0074149334931,-81.0348006044769,58799,45079003100
34.003323,-81.035693,58799,45079003100
34.008409,-81.041802,58561,45079001600
34.002255,-81.040219,58561,45079001600
34.84709,-82.387269,59462,45045004200
34.849724,-82.400667,58646,45045000200
34.849889,-82.397797,58646,45045000200
34.852754,-82.393113,58646,45045000200
33.997786,-81.036161,59474,45079002900
34.852789,-82.396195,58646,45045000200
34.85335,-82.394826,58646,45045000200
34.852437,-82.399901,58646,45045000200
34.925782,-81.028444,59388,45091060501
34.716556,-81.648482,59193,45087030100
34.7799395518331,-81.4573590734024,59598,45087030900
34.019875,-118.49151,8250,06037701502
37.784871,-122.408991,7969,06075012501
37.806798,-122.419488,6779,06075010200
34.010528,-118.4898,8141,06037701902
39.843886,-104.771138,12612,08001008523
39.953798,-105.166116,12397,08013060600
42.372442,-71.122882,31737,25017354100
41.492057,-87.522819,24118,18089042802
42.962078,-85.659019,33230,26081002100
41.94629288,-87.69982,22757,17031210100
41.75497055,-87.71321,21351,17031700200
40.507796,-88.982897,21010,17113000501
40.511172,-88.984985,22785,17113000102
39.79628,-89.6504,20970,17167001400
39.70909,-86.3894,24514,18063210802
30.198704,-93.212318,29084,22019000800
44.95121,-92.9952,35549,27123042501
47.761878,-122.191915,70011,53033021804
47.679224,-122.12995,70712,53033032309
47.672359,-122.099034,70318,53033032313
47.734211,-122.147041,69986,53033021906
43.011411,-89.459112,72496,55025010702
43.096636,-89.500008,72062,55025011000
35.778416,-78.64347,50022,37183050100
35.77435,-78.642287,50022,37183050100
37.958953,-91.779289,38534,29161890400
30.206145,-97.759109,65452,48453002403
42.999265,-71.467911,40334,33011200400
39.1458,-123.198497,11305,06045011500
34.749177,-82.279741,58889,45045003005
36.910575,-80.31736,69111,51063920102
37.551409,-77.45233,68241,51760040300
37.543387,-77.42953,67465,51760030200
36.010279,-84.268049,60974,47001020100
35.558371,-86.448276,61252,47003950100
32.408909,-99.771463,64906,48441012801
35.159354,-101.938937,66535,48381021608
32.676458,-97.087169,61593,48439111514
30.374542,-97.731445,61776,48453001817
29.8072529971707,-94.9738336486877,65657,48201253100
30.062535,-94.133511,64393,48245002100
